model,pr_auc,roc_auc,recall_at_5pct_fpr,f1_fraud,precision_fraud,recall_fraud
CatBoost,0.19732632036488515,0.8923638945888795,0.5441278665740097,0.27324595219737857,0.24563349043526475,0.30785267546907574
Stacking,0.19555827777355078,0.8935674279122403,0.5455177206393329,0.2748603351955307,0.254207263064659,0.2991660875608061
LightGBM,0.18783601613396436,0.8898729036754907,0.5392633773453788,0.26290251433612705,0.22788682131022178,0.310632383599722
XGBoost,0.18385660375585405,0.8881532331898508,0.5333564975677554,0.2552295750559137,0.20537793775142918,0.3370396108408617
MLP,0.16717732350813697,0.876898935225521,0.4930507296733843,0.24665424360494664,0.24066115702479338,0.2529534398888117
Logistic Regression,0.15147462721624927,0.8701834476654636,0.4722029186935372,0.22757407657962386,0.18635054287613562,0.2922168172341904
Random Forest,0.1405084942806081,0.8718756195542846,0.4794996525364837,0.22636876994844096,0.17501898253606682,0.320361362056984
AdaBoost,0.06170279864574384,0.812651727251036,0.0,0.14070407652522107,0.08375819373634377,0.43954134815844337
One-Class SVM,0.019701897438289675,0.5777339383604505,0.10250173731758165,0.04756454279537072,0.02910958904109589,0.1299513551077137
Isolation Forest,0.017728949951974667,0.5411171200357362,0.08651841556636553,0.03960817717206133,0.02855388394227817,0.06462821403752605
Autoencoder,0.017273390461489308,0.5680365960959652,0.06184850590687978,0.037704379469813754,0.020330853296269043,0.2592077831827658
LOF,0.015620048739768824,0.5274363369150291,0.06184850590687978,0.031667513194797166,0.016908383445348427,0.24913134120917305
Dummy,0.01405861117354124,0.5006523348914681,0.011466296038915913,0.027687852652136476,0.014038271117159567,1.0
